unit_ref,tenancy_id,tenancy_start_date,tenancy_end_date
Unit7399,Tenant2062,19/07/1999,24/03/2019
Unit7399,Tenant2063,15/04/2019,
Unit1293,Tenant2064,19/11/2018,01/12/2019
Unit1293,Tenant2065,09/12/2019,
Unit6793,Tenant2066,08/10/2012,
Unit8550,Tenant2067,11/09/2017,
Unit219,Tenant2068,17/12/2012,
Unit2565,Tenant2069,29/07/2002,
Unit4343,Tenant2070,16/07/2001,
Unit6483,Tenant2071,26/03/2012,
Unit8428,Tenant2072,07/09/2015,02/08/2020
Unit7794,Tenant2073,20/08/2012,20/12/2020
Unit7794,Tenant2074,21/12/2020,
Unit5054,Tenant2075,05/06/2006,
Unit3544,Tenant2076,03/02/2017,
Unit1314,Tenant2077,14/01/2013,
Unit5032,Tenant2078,31/01/2014,
Unit301,Tenant2079,12/12/2016,
Unit3667,Tenant2080,17/05/1999,
Unit1356,Tenant2081,27/08/2012,09/11/2020
Unit4487,Tenant2082,13/05/2013,11/10/2020
Unit4487,Tenant2083,12/10/2020,
Unit386,Tenant2084,08/12/2008,
Unit1943,Tenant2085,13/10/2008,
Unit2456,Tenant2086,16/09/1996,
Unit9195,Tenant2087,30/08/2004,15/11/2020
Unit9195,Tenant2088,16/11/2020,
Unit1422,Tenant2089,26/04/2010,28/07/2019
Unit1422,Tenant2090,05/08/2019,
Unit6686,Tenant2091,20/09/2004,
Unit6700,Tenant2092,09/02/2004,11/10/2020
Unit7466,Tenant2093,06/11/2017,
Unit6297,Tenant2094,17/06/2002,
Unit3630,Tenant2095,13/10/2014,
Unit3637,Tenant2096,08/06/2015,
Unit8608,Tenant2097,05/05/2015,
Unit7792,Tenant2098,09/01/2012,01/12/2019
Unit4627,Tenant2099,18/01/2010,
Unit9691,Tenant2100,23/10/2017,
Unit9486,Tenant2101,08/06/2015,23/02/2020
Unit734,Tenant2102,07/02/2011,
Unit5668,Tenant2103,02/02/2015,
Unit2792,Tenant2104,09/06/2008,
Unit445,Tenant2105,25/10/2004,
Unit512,Tenant2106,15/09/2014,
Unit1964,Tenant2107,21/05/2007,09/02/2020
Unit1964,Tenant2108,26/10/2020,
Unit5400,Tenant2109,21/08/1989,
Unit6349,Tenant2110,09/02/1998,
Unit4238,Tenant2111,28/01/2013,24/02/2021
Unit8136,Tenant2112,04/04/2011,
Unit4591,Tenant2113,10/08/2009,19/01/2020
Unit4591,Tenant2114,19/10/2020,
Unit9832,Tenant2115,26/04/1982,
Unit7671,Tenant2116,18/02/2002,
Unit4554,Tenant2117,23/06/1997,
Unit7056,Tenant2118,03/06/2013,
Unit740,Tenant2119,22/08/2005,
Unit8653,Tenant2120,24/01/2011,
Unit8277,Tenant2121,11/06/2007,
Unit1427,Tenant2122,17/02/2017,29/03/2021
Unit4672,Tenant2123,27/11/1995,
Unit8707,Tenant2124,04/08/2014,15/11/2020
Unit8707,Tenant2125,16/11/2020,
Unit5820,Tenant2126,15/10/2012,
Unit1452,Tenant2127,30/09/2013,
Unit489,Tenant2128,03/06/2002,
Unit4831,Tenant2129,12/10/2015,28/07/2019
Unit4831,Tenant2130,23/09/2019,
Unit25,Tenant2131,29/05/1989,
Unit5410,Tenant2132,11/04/2011,
Unit602,Tenant2133,24/11/2014,
Unit1217,Tenant2134,08/08/2011,
Unit7560,Tenant2135,06/04/1998,
Unit2527,Tenant2136,26/08/2013,
Unit4886,Tenant2137,01/10/2007,
Unit7932,Tenant2138,24/02/2015,
Unit7133,Tenant2139,15/01/2007,
Unit6769,Tenant2140,06/08/2019,
Unit6769,Tenant2141,08/12/2017,06/08/2019
Unit4316,Tenant2142,30/07/2007,
Unit7493,Tenant2143,13/04/2006,
Unit5951,Tenant2144,25/09/2006,
Unit3154,Tenant2145,13/05/2016,30/04/2019
Unit3154,Tenant2146,10/08/2019,31/03/2020
Unit3154,Tenant2147,11/06/2020,
Unit8039,Tenant2148,01/08/1969,
Unit7843,Tenant2149,11/08/1997,26/04/2020
Unit7843,Tenant2150,17/08/2020,
Unit4084,Tenant2151,25/11/2002,
Unit2163,Tenant2152,10/03/2003,
Unit6455,Tenant2153,20/09/1999,
Unit212,Tenant2154,10/05/1993,
Unit5777,Tenant2155,16/05/2016,
Unit7758,Tenant2156,24/09/2012,
Unit7333,Tenant2157,14/05/2012,
Unit7464,Tenant2158,04/09/2006,
Unit3330,Tenant2159,22/06/2015,
Unit3170,Tenant2160,21/03/2016,
Unit4970,Tenant2161,16/04/2012,
Unit91,Tenant2162,13/12/2010,
Unit3408,Tenant2163,24/12/2018,
Unit410,Tenant2164,01/08/2011,
Unit7350,Tenant2165,23/07/2018,
Unit1079,Tenant2166,02/08/2004,
Unit6107,Tenant2167,29/12/2003,
Unit8724,Tenant2168,06/02/2006,
Unit2449,Tenant2169,03/09/2001,
Unit2986,Tenant2170,18/04/1994,04/10/2020
Unit2986,Tenant2171,05/10/2020,
Unit1553,Tenant2172,06/04/2009,
Unit1525,Tenant2173,02/08/1999,
Unit6348,Tenant2174,05/09/2016,
Unit7052,Tenant2175,10/02/2014,
Unit9916,Tenant2176,17/07/2017,
Unit8211,Tenant2177,29/06/1998,
Unit4631,Tenant2178,12/05/1989,
Unit9006,Tenant2179,08/02/2010,
Unit3593,Tenant2180,20/12/2004,
Unit3601,Tenant2181,26/09/2011,
Unit5776,Tenant2182,21/02/2011,
Unit3080,Tenant2183,15/06/2009,
Unit103,Tenant2184,24/12/2012,
Unit4525,Tenant2185,03/10/2016,
Unit1360,Tenant2186,17/09/2018,
Unit6563,Tenant2187,26/06/2014,31/10/2019
Unit8729,Tenant2188,07/01/2019,10/11/2019
Unit1113,Tenant2189,14/10/2002,
Unit8876,Tenant2190,15/08/2016,
Unit5126,Tenant2191,23/01/2017,
Unit8082,Tenant2192,27/04/1998,
Unit3317,Tenant2193,04/04/2011,
Unit716,Tenant2194,03/11/2014,
Unit3964,Tenant2195,13/12/2004,
Unit7935,Tenant2196,26/09/1988,
Unit6575,Tenant2197,11/07/2005,19/07/2020
Unit7776,Tenant2198,06/02/2012,
Unit3423,Tenant2199,09/05/2011,
Unit2788,Tenant2200,19/10/2015,13/10/2019
Unit2788,Tenant2201,10/02/2020,
Unit295,Tenant2202,15/08/1994,
Unit8874,Tenant2203,10/03/2016,03/07/2020
Unit8874,Tenant2204,03/07/2020,
Unit7396,Tenant2205,21/06/2004,
Unit1151,Tenant2206,24/11/2008,
Unit3241,Tenant2207,25/09/2006,
Unit2276,Tenant2208,26/02/2002,
Unit5408,Tenant2209,28/10/2002,
Unit3830,Tenant2210,19/10/2015,13/10/2019
Unit3830,Tenant2211,14/10/2019,31/01/2021
Unit1741,Tenant2212,13/07/2009,
Unit2308,Tenant2213,02/12/2019,
Unit2308,Tenant2214,03/10/2016,01/12/2019
Unit8264,Tenant2215,19/11/2018,
Unit2160,Tenant2216,28/02/2020,
Unit3314,Tenant2217,13/03/2020,
Unit2135,Tenant2218,20/07/2020,
Unit8729,Tenant2219,04/05/2020,
Unit2598,Tenant2220,27/11/2013,
Unit5162,Tenant2221,13/12/2013,
Unit5571,Tenant2222,12/05/2017,
Unit8740,Tenant2223,04/04/2016,
Unit9728,Tenant2224,11/07/2005,
Unit9219,Tenant2225,04/01/2016,
Unit3259,Tenant2226,15/04/2013,
Unit4520,Tenant2227,30/04/2007,
Unit8883,Tenant2228,17/02/2006,
Unit4168,Tenant2229,31/03/2016,
Unit596,Tenant2230,24/04/1995,27/01/2019
Unit596,Tenant2231,25/03/2019,
Unit3527,Tenant2232,05/11/1984,
Unit4209,Tenant2233,23/07/2001,24/11/2019
Unit4209,Tenant2234,10/08/2020,
Unit518,Tenant2235,04/03/2013,
Unit7870,Tenant2236,24/03/2010,30/01/2020
Unit7870,Tenant2237,30/01/2020,
Unit379,Tenant2238,08/09/2014,
Unit763,Tenant2239,21/06/2010,
Unit3354,Tenant2240,17/10/2005,
Unit556,Tenant2241,28/01/2008,12/05/2019
Unit556,Tenant2242,29/07/2019,
Unit881,Tenant2243,20/04/2015,
Unit3760,Tenant2244,24/08/2017,15/02/2021
Unit7117,Tenant2245,23/02/1987,
Unit5788,Tenant2246,28/03/2011,
Unit9716,Tenant2247,25/09/2006,
Unit1505,Tenant2248,07/06/2010,
Unit8179,Tenant2249,17/03/1997,
Unit7204,Tenant2250,02/06/2003,
Unit4656,Tenant2251,27/06/2013,13/05/2019
Unit4656,Tenant2252,13/05/2019,
Unit4892,Tenant2253,30/06/1997,
Unit4592,Tenant2254,21/11/2016,
Unit1858,Tenant2255,15/08/2005,
Unit6267,Tenant2256,08/06/2009,
Unit4309,Tenant2257,24/03/1994,15/05/2019
Unit5969,Tenant2258,03/08/2004,
Unit5279,Tenant2259,07/03/1994,10/01/2019
Unit5279,Tenant2260,10/01/2019,
Unit1031,Tenant2261,26/10/2018,
Unit1190,Tenant2262,14/05/2004,
Unit2127,Tenant2263,27/10/2006,
Unit6890,Tenant2264,23/04/2018,
Unit2510,Tenant2265,11/12/2015,
Unit7696,Tenant2266,06/09/2002,
Unit6201,Tenant2267,21/11/2003,
Unit8501,Tenant2268,14/02/2003,
Unit7842,Tenant2269,31/01/1994,
Unit9223,Tenant2270,18/09/2013,
Unit824,Tenant2271,31/08/2015,
Unit9058,Tenant2272,01/10/1983,
Unit3244,Tenant2273,03/05/1993,
Unit342,Tenant2274,01/06/2009,
Unit6575,Tenant2275,14/09/2020,
Unit137,Tenant2276,27/06/2011,
Unit4511,Tenant2277,27/02/2012,21/02/2021
Unit8169,Tenant2278,07/01/2002,
Unit5044,Tenant2279,30/01/2012,
Unit4512,Tenant2280,17/07/1988,
Unit9722,Tenant2281,01/11/2010,09/02/2020
Unit9722,Tenant2282,17/08/2020,
Unit1956,Tenant2283,03/09/2012,
Unit444,Tenant2284,17/12/2007,
Unit7475,Tenant2285,25/12/1989,
Unit3277,Tenant2286,23/04/1990,
Unit7386,Tenant2287,03/06/2002,10/02/2019
Unit7386,Tenant2288,27/05/2019,
Unit9103,Tenant2289,30/04/1984,
Unit407,Tenant2290,12/10/2009,
Unit7156,Tenant2291,26/06/2017,
Unit2583,Tenant2292,30/04/2007,
Unit8058,Tenant2293,14/05/2018,06/12/2020
Unit8497,Tenant2294,22/02/1993,
Unit2891,Tenant2295,24/06/2013,
Unit9141,Tenant2296,20/05/2019,
Unit5323,Tenant2297,08/04/2019,
Unit6398,Tenant2298,30/01/2017,
Unit8699,Tenant2299,01/03/2010,
Unit2002,Tenant2300,13/11/2017,
Unit4681,Tenant2301,30/09/2002,26/08/2020
Unit4681,Tenant2302,26/08/2020,
Unit304,Tenant2303,08/08/1988,
Unit2860,Tenant2304,31/01/2005,
Unit5427,Tenant2305,22/03/2004,
Unit2131,Tenant2306,08/11/2019,
Unit2718,Tenant2307,01/09/2020,
Unit1708,Tenant2308,06/09/2019,
Unit8053,Tenant2309,14/10/2019,
Unit7773,Tenant2310,14/10/2019,
Unit2932,Tenant2311,27/09/2019,
Unit9264,Tenant2312,15/07/2019,
Unit1204,Tenant2313,08/10/2020,
Unit1033,Tenant2314,06/11/2019,
Unit6094,Tenant2315,17/04/2019,
Unit7206,Tenant2316,29/03/1993,05/04/2020
Unit7206,Tenant2317,01/06/2020,
Unit9674,Tenant2318,21/03/1994,
Unit5445,Tenant2319,06/12/1999,
Unit569,Tenant2320,23/08/2004,
Unit6959,Tenant2321,05/04/1999,
Unit5528,Tenant2322,29/10/2007,
Unit6879,Tenant2323,16/12/1996,
Unit8202,Tenant2324,15/09/2017,
Unit6383,Tenant2325,24/10/2011,
Unit320,Tenant2326,15/03/1982,
Unit8579,Tenant2327,06/01/2014,07/04/2019
Unit8579,Tenant2328,16/03/2020,
Unit2393,Tenant2329,01/03/2010,
Unit4526,Tenant2330,14/02/2000,
Unit8508,Tenant2331,02/05/2005,
Unit2862,Tenant2332,24/10/1983,
Unit8619,Tenant2333,13/04/2009,
Unit9345,Tenant2334,20/05/2019,
Unit8768,Tenant2335,27/12/1999,
Unit2321,Tenant2336,12/07/1999,
Unit8934,Tenant2337,12/09/2019,
Unit2844,Tenant2338,12/12/2003,
Unit7603,Tenant2339,26/01/2005,11/04/2019
Unit7603,Tenant2340,11/04/2019,
Unit4971,Tenant2341,27/11/2005,30/06/2020
Unit4971,Tenant2342,30/06/2020,
Unit191,Tenant2343,03/02/2014,
Unit4500,Tenant2344,18/07/2011,06/09/2020
Unit6500,Tenant2345,18/03/2002,
Unit6296,Tenant2346,22/04/2013,
Unit4014,Tenant2347,09/06/1997,
Unit551,Tenant2348,12/04/2010,
Unit4588,Tenant2349,14/07/2008,
Unit5345,Tenant2350,29/01/1996,
Unit4455,Tenant2351,19/07/2004,
Unit841,Tenant2352,01/12/2003,
Unit4587,Tenant2353,21/11/2005,
Unit2646,Tenant2354,31/08/2009,
Unit6713,Tenant2355,30/03/1970,
Unit3698,Tenant2356,07/06/2016,
Unit4559,Tenant2357,26/05/1997,
Unit2892,Tenant2358,05/07/2004,
Unit1460,Tenant2359,22/08/2005,
Unit6913,Tenant2360,06/11/1989,
Unit6923,Tenant2361,08/01/1996,
Unit6063,Tenant2362,17/04/1989,
Unit8339,Tenant2363,25/04/2005,
Unit5495,Tenant2364,17/03/2003,
Unit5877,Tenant2365,13/11/2000,
Unit4922,Tenant2366,20/11/2000,
Unit4558,Tenant2367,21/09/2015,
Unit1951,Tenant2368,17/12/2001,
Unit6245,Tenant2369,04/02/2002,
Unit6709,Tenant2370,29/05/2006,01/09/2019
Unit6073,Tenant2371,04/04/2011,
Unit8065,Tenant2372,19/01/1998,
Unit6851,Tenant2373,03/01/2011,
Unit34,Tenant2374,23/03/1981,
Unit1875,Tenant2375,28/08/2015,
Unit7517,Tenant2376,01/02/2016,
Unit1051,Tenant2377,16/05/2011,
Unit2132,Tenant2378,18/08/2008,
Unit447,Tenant2379,03/08/2009,
Unit4369,Tenant2380,28/03/2016,
Unit768,Tenant2381,05/11/2018,07/04/2019
Unit768,Tenant2382,20/05/2019,
Unit4929,Tenant2383,14/01/2008,
Unit7045,Tenant2384,18/03/2019,
Unit5109,Tenant2385,12/02/2018,
Unit1056,Tenant2386,20/03/2017,
Unit1605,Tenant2387,12/07/1993,15/11/2020
Unit266,Tenant2388,27/11/2017,
Unit3635,Tenant2389,30/01/2017,
Unit3675,Tenant2390,21/08/2000,
Unit3449,Tenant2391,07/12/2009,
Unit9150,Tenant2392,31/01/2011,
Unit4574,Tenant2393,27/04/2015,
Unit3781,Tenant2394,26/12/2005,
Unit4877,Tenant2395,25/06/2007,
Unit5205,Tenant2396,23/07/2012,
Unit2360,Tenant2397,24/08/2015,16/08/2020
Unit7545,Tenant2398,13/08/2018,
Unit1355,Tenant2399,13/05/2002,
Unit4251,Tenant2400,14/05/1990,04/08/2019
Unit4251,Tenant2401,09/09/2019,
Unit4338,Tenant2402,24/03/1995,
Unit8160,Tenant2403,12/10/2016,02/08/2019
Unit8160,Tenant2404,02/08/2019,
Unit9648,Tenant2405,07/03/2005,
Unit2332,Tenant2406,20/09/2004,
Unit7474,Tenant2407,05/04/1993,
Unit8975,Tenant2408,13/03/2000,
Unit433,Tenant2409,19/12/2005,
Unit4811,Tenant2410,18/09/2017,
Unit12,Tenant2411,02/06/1997,
Unit7113,Tenant2412,26/09/2005,
Unit4691,Tenant2413,01/05/2017,
Unit1194,Tenant2414,29/01/2007,
Unit9523,Tenant2415,14/06/2004,
Unit3070,Tenant2416,22/05/1995,
Unit620,Tenant2417,22/08/2011,
Unit1676,Tenant2418,19/06/2006,
Unit148,Tenant2419,30/09/2002,
Unit982,Tenant2420,13/04/2009,
Unit6933,Tenant2421,25/07/2016,
Unit2420,Tenant2422,01/05/2000,
Unit4495,Tenant2423,09/06/1997,
Unit8558,Tenant2424,11/05/1992,
Unit9698,Tenant2425,28/07/2008,
Unit7686,Tenant2426,26/09/2016,
Unit6948,Tenant2427,12/05/1986,
Unit6539,Tenant2428,16/05/1994,
Unit5216,Tenant2429,14/02/1994,
Unit1388,Tenant2430,07/03/2005,
Unit7557,Tenant2431,18/09/1995,
Unit2693,Tenant2432,23/01/2012,
Unit8698,Tenant2433,30/01/2017,
Unit2283,Tenant2434,25/03/2019,
Unit4045,Tenant2435,30/01/2012,
Unit79,Tenant2436,31/12/2001,
Unit2728,Tenant2437,04/05/2009,
Unit9516,Tenant2438,22/01/2007,
Unit5928,Tenant2439,03/11/2003,
Unit1954,Tenant2440,26/11/2007,
Unit2285,Tenant2441,26/11/2018,
Unit4422,Tenant2442,06/02/2012,
Unit4332,Tenant2443,13/03/2006,
Unit522,Tenant2444,18/07/1994,
Unit4355,Tenant2445,03/01/2000,
Unit7454,Tenant2446,24/06/2013,
Unit4295,Tenant2447,18/09/1995,28/07/2019
Unit4295,Tenant2448,29/07/2019,
Unit229,Tenant2449,22/06/2015,
Unit3160,Tenant2450,29/03/2004,
Unit4858,Tenant2451,21/02/1994,
Unit1877,Tenant2452,24/02/2003,
Unit6188,Tenant2453,13/12/1971,
Unit3545,Tenant2454,03/12/2018,08/09/2019
Unit3545,Tenant2455,17/08/2020,
Unit5687,Tenant2456,14/12/2009,10/03/2019
Unit5687,Tenant2457,30/09/2019,
Unit6033,Tenant2458,17/02/2020,24/05/2020
Unit6033,Tenant2459,14/09/2020,04/10/2020
Unit6033,Tenant2460,26/10/2020,08/11/2020
Unit6033,Tenant2461,30/11/2020,13/12/2020
Unit3269,Tenant2462,02/09/2013,
Unit1,Tenant2463,29/08/2011,
Unit9323,Tenant2464,17/07/2006,10/05/2020
Unit9323,Tenant2465,29/06/2020,
Unit5759,Tenant2466,10/04/2017,
Unit3525,Tenant2467,30/08/2004,
Unit2776,Tenant2468,16/08/1999,
Unit1028,Tenant2469,12/03/2007,
Unit3448,Tenant2470,16/04/2001,
Unit5371,Tenant2471,16/02/2015,
Unit4799,Tenant2472,19/05/2014,
Unit4139,Tenant2473,18/05/2018,
Unit4089,Tenant2474,21/03/2011,
Unit8543,Tenant2475,31/05/2012,
Unit584,Tenant2476,31/01/2005,
Unit3221,Tenant2477,26/04/1999,
Unit6868,Tenant2478,24/04/1976,
Unit3723,Tenant2479,01/08/2016,
Unit276,Tenant2480,02/06/2008,
Unit1047,Tenant2481,15/11/1999,
Unit4263,Tenant2482,26/11/2001,
Unit253,Tenant2483,14/05/2018,
Unit7716,Tenant2484,27/01/2003,
Unit3171,Tenant2485,15/10/2007,
Unit1290,Tenant2486,07/01/2008,
Unit1483,Tenant2487,14/04/2014,
Unit776,Tenant2488,14/10/2019,
Unit776,Tenant2489,05/12/2016,13/10/2019
Unit7949,Tenant2490,05/09/2005,18/10/2020
Unit8366,Tenant2491,19/03/2018,
Unit8850,Tenant2492,05/02/2001,27/09/2020
Unit8850,Tenant2493,28/09/2020,
Unit1729,Tenant2494,19/12/2005,
Unit1581,Tenant2495,25/07/2016,
Unit4566,Tenant2496,15/08/2016,
Unit8154,Tenant2497,01/11/1968,
Unit2036,Tenant2498,24/05/2004,
Unit5724,Tenant2499,21/06/2010,
Unit760,Tenant2500,06/09/2004,
Unit2618,Tenant2501,01/08/2016,
Unit7039,Tenant2502,29/05/2015,28/08/2019
Unit7039,Tenant2503,28/08/2019,
Unit2113,Tenant2504,21/03/2014,
Unit4919,Tenant2505,02/11/2012,
Unit4706,Tenant2506,11/10/2010,
Unit7349,Tenant2507,11/10/2010,
Unit7818,Tenant2508,02/08/2004,
Unit7010,Tenant2509,20/09/2004,
Unit9779,Tenant2510,27/06/2014,
Unit895,Tenant2511,06/06/2005,
Unit578,Tenant2512,14/03/2011,
Unit4557,Tenant2513,15/04/1991,
Unit4502,Tenant2514,06/09/2010,
Unit2600,Tenant2515,11/02/2019,
Unit3638,Tenant2516,08/05/1995,
Unit4713,Tenant2517,30/09/2002,
Unit2542,Tenant2518,27/03/1989,
Unit4441,Tenant2519,19/01/2004,
Unit4890,Tenant2520,26/09/2011,
Unit2575,Tenant2521,26/06/2017,
Unit3090,Tenant2522,11/10/2010,
Unit3039,Tenant2523,26/10/2010,
Unit3787,Tenant2524,22/06/2017,
Unit7851,Tenant2525,11/10/2010,
Unit747,Tenant2526,11/10/2010,
Unit402,Tenant2527,11/10/2010,
Unit9812,Tenant2528,11/10/2010,
Unit7934,Tenant2529,11/10/2010,
Unit8089,Tenant2530,11/10/2010,
Unit6963,Tenant2531,11/10/2010,
Unit6154,Tenant2532,01/06/2012,29/07/2019
Unit6154,Tenant2533,29/07/2019,
Unit1050,Tenant2534,14/11/2011,
Unit6703,Tenant2535,05/04/1993,
Unit2472,Tenant2536,18/12/2000,
Unit2566,Tenant2537,10/01/2005,
Unit8566,Tenant2538,30/09/2002,
Unit2482,Tenant2539,15/08/1988,25/08/2019
Unit2482,Tenant2540,02/12/2019,
Unit4927,Tenant2541,22/03/1989,
Unit436,Tenant2542,26/01/2004,
Unit9955,Tenant2543,09/12/2013,
Unit4904,Tenant2544,11/06/2007,
Unit7527,Tenant2545,26/12/2005,12/05/2019
Unit7527,Tenant2546,12/08/2019,
Unit6403,Tenant2547,30/05/2016,
Unit9253,Tenant2548,17/12/1984,
Unit8502,Tenant2549,26/04/1993,
Unit9232,Tenant2550,01/02/2010,
Unit5177,Tenant2551,26/11/2004,
Unit3097,Tenant2552,22/10/2012,15/12/2020
Unit3097,Tenant2553,15/12/2020,
Unit3739,Tenant2554,28/11/2016,
Unit2074,Tenant2555,12/12/2011,16/02/2020
Unit2074,Tenant2556,09/03/2020,12/04/2020
Unit2074,Tenant2557,27/04/2020,
Unit2007,Tenant2558,02/04/2007,
Unit9989,Tenant2559,25/09/2006,
Unit2804,Tenant2560,10/09/2012,25/08/2019
Unit2804,Tenant2561,09/09/2019,
Unit8561,Tenant2562,16/02/2004,
Unit8374,Tenant2563,05/12/1994,13/12/2020
Unit8872,Tenant2564,14/05/2018,
Unit561,Tenant2565,07/07/2014,
Unit4114,Tenant2566,15/10/2007,
Unit580,Tenant2567,25/01/2016,
Unit7021,Tenant2568,28/01/2002,
Unit764,Tenant2569,05/05/1997,
Unit2342,Tenant2570,23/02/2009,
Unit1735,Tenant2571,19/03/2001,
Unit6139,Tenant2572,02/11/2015,
Unit5001,Tenant2573,09/03/2009,
Unit5824,Tenant2574,01/04/1995,
Unit9483,Tenant2575,27/01/1986,
Unit9472,Tenant2576,12/09/1994,
Unit7592,Tenant2577,07/09/1987,
Unit7448,Tenant2578,19/02/1990,
Unit9397,Tenant2579,09/06/1997,
Unit8863,Tenant2580,11/10/2010,
Unit5658,Tenant2581,11/07/2011,
Unit5260,Tenant2582,21/08/2015,15/01/2021
Unit2861,Tenant2583,10/12/2018,
Unit5317,Tenant2584,11/10/2010,
Unit9470,Tenant2585,11/10/2010,
Unit9874,Tenant2586,11/10/2010,
Unit7247,Tenant2587,31/07/2014,
Unit1069,Tenant2588,28/11/2016,19/02/2021
Unit7013,Tenant2589,11/10/2010,
Unit5219,Tenant2590,20/03/2017,
Unit2205,Tenant2591,11/10/2010,
Unit8524,Tenant2592,11/10/2010,
Unit8199,Tenant2593,11/10/2010,
Unit7429,Tenant2594,11/10/2010,
Unit6067,Tenant2595,11/10/2010,
Unit6716,Tenant2596,17/09/2001,03/03/2019
Unit6716,Tenant2597,15/07/2019,
Unit4775,Tenant2598,23/11/2015,
Unit2081,Tenant2599,13/03/2000,
Unit8712,Tenant2600,04/12/1995,
Unit3148,Tenant2601,30/11/2015,
Unit6192,Tenant2602,10/07/2006,
Unit591,Tenant2603,13/05/2019,
Unit6207,Tenant2604,11/09/2017,
Unit5244,Tenant2605,12/12/1983,
Unit47,Tenant2606,03/10/2016,
Unit5026,Tenant2607,20/05/2013,28/04/2019
Unit5026,Tenant2608,29/04/2019,
Unit4985,Tenant2609,30/03/1992,
Unit3084,Tenant2610,23/09/2013,
Unit7069,Tenant2611,20/07/2009,
Unit3641,Tenant2612,05/06/2000,
Unit4539,Tenant2613,04/12/1995,
Unit2504,Tenant2614,24/08/2015,20/10/2019
Unit2504,Tenant2615,27/07/2020,
Unit1371,Tenant2616,12/06/2006,
Unit6284,Tenant2617,30/10/1989,
Unit7846,Tenant2618,18/09/2006,30/08/2019
Unit7846,Tenant2619,30/08/2019,
Unit168,Tenant2620,09/03/1998,
Unit4317,Tenant2621,20/09/2004,
Unit2719,Tenant2622,30/09/2002,
Unit9815,Tenant2623,09/02/1987,
Unit5328,Tenant2624,15/07/2002,
Unit6844,Tenant2625,17/09/2001,
Unit8895,Tenant2626,14/01/2013,
Unit9907,Tenant2627,14/02/1983,
Unit9814,Tenant2628,10/09/2007,
Unit2656,Tenant2629,04/06/2012,
Unit5455,Tenant2630,29/12/1997,26/05/2019
Unit5455,Tenant2631,07/10/2019,
Unit6945,Tenant2632,01/11/1981,
Unit8695,Tenant2633,24/06/2013,
Unit7878,Tenant2634,22/06/1987,
Unit1883,Tenant2635,15/02/2013,
Unit4771,Tenant2636,15/05/2020,
Unit4771,Tenant2637,26/01/2018,25/01/2020
Unit9366,Tenant2638,11/02/2013,
Unit658,Tenant2639,13/11/2017,
Unit6986,Tenant2640,03/11/2008,
Unit6129,Tenant2641,01/06/1998,
Unit3465,Tenant2642,30/09/2002,
Unit6345,Tenant2643,24/07/2017,31/05/2020
Unit6345,Tenant2644,09/11/2020,
Unit6328,Tenant2645,07/12/1992,05/04/2019
Unit6328,Tenant2646,05/04/2019,
Unit3980,Tenant2647,27/05/2011,30/04/2020
Unit3980,Tenant2648,30/04/2020,
Unit3332,Tenant2649,28/07/2014,
Unit5937,Tenant2650,13/07/1998,
Unit5047,Tenant2651,11/10/2010,
Unit7706,Tenant2652,08/08/2011,
Unit3574,Tenant2653,01/04/2013,10/03/2019
Unit3574,Tenant2654,27/05/2019,
Unit9455,Tenant2655,11/10/2010,
Unit8427,Tenant2656,11/10/2010,
Unit9495,Tenant2657,11/10/2010,
Unit1288,Tenant2658,28/10/2013,
Unit9556,Tenant2659,11/10/2010,
Unit7357,Tenant2660,11/10/2010,
Unit313,Tenant2661,04/05/2015,
Unit2782,Tenant2662,11/10/2010,
Unit2198,Tenant2663,24/11/2014,06/04/2021
Unit6008,Tenant2664,18/07/2011,
Unit9710,Tenant2665,05/08/2013,
Unit2075,Tenant2666,30/09/2002,
Unit964,Tenant2667,04/10/1999,
Unit1937,Tenant2668,15/07/1996,
Unit3810,Tenant2669,28/02/2005,
Unit954,Tenant2670,09/08/2004,
Unit9374,Tenant2671,16/12/2002,
Unit3941,Tenant2672,05/02/1996,
Unit9015,Tenant2673,25/03/2013,
Unit3876,Tenant2674,26/04/1993,
Unit7363,Tenant2675,15/06/2009,
Unit9796,Tenant2676,25/05/2015,26/05/2019
Unit5842,Tenant2677,07/05/2012,
Unit3258,Tenant2678,22/06/1998,
Unit6394,Tenant2679,01/04/1993,
Unit5300,Tenant2680,21/08/2006,08/03/2020
Unit3427,Tenant2681,13/11/2006,
Unit8274,Tenant2682,14/10/2013,
Unit9016,Tenant2683,03/05/1993,
Unit8890,Tenant2684,19/08/2013,
Unit4280,Tenant2685,11/10/2016,
Unit6380,Tenant2686,15/06/2020,
Unit6380,Tenant2687,31/10/2013,15/06/2020
Unit1455,Tenant2688,02/10/2017,
Unit5203,Tenant2689,06/06/2013,
Unit6160,Tenant2690,15/05/2020,
Unit6160,Tenant2691,31/05/2013,23/04/2019
Unit9134,Tenant2692,10/05/2013,
Unit9218,Tenant2693,29/01/2014,
Unit5289,Tenant2694,20/05/2013,03/11/2019
Unit5289,Tenant2695,20/01/2020,
Unit9708,Tenant2696,06/05/1996,
Unit1123,Tenant2697,16/09/1996,
Unit225,Tenant2698,01/12/2014,
Unit4712,Tenant2699,15/08/2005,
Unit5033,Tenant2700,25/10/1993,05/04/2020
Unit5033,Tenant2701,15/06/2020,
Unit5208,Tenant2702,21/07/1997,
Unit3910,Tenant2703,16/10/2006,
