unit_ref,tenancy_id,tenancy_start_date,tenancy_end_date
Unit2244,Tenant153,11/11/1996,
Unit5973,Tenant154,11/09/2017,
Unit988,Tenant155,10/10/1994,
Unit6631,Tenant156,18/01/2010,
Unit9846,Tenant157,10/01/2005,
Unit6032,Tenant158,01/04/1991,
Unit3631,Tenant159,30/12/2002,
Unit233,Tenant160,07/08/2006,01/12/2019
Unit233,Tenant161,15/06/2020,
Unit3333,Tenant162,03/10/1977,
Unit6037,Tenant163,16/07/1990,
Unit7412,Tenant164,29/06/2015,
Unit642,Tenant165,24/08/2009,
Unit8781,Tenant166,14/02/2005,
Unit5391,Tenant167,21/11/1994,
Unit8545,Tenant168,04/07/2005,
Unit7344,Tenant169,28/08/2006,13/10/2019
Unit7344,Tenant170,14/10/2019,
Unit9240,Tenant171,17/07/1995,
Unit574,Tenant172,23/12/2013,
Unit3338,Tenant173,20/09/2004,13/01/2019
Unit3338,Tenant174,18/03/2019,
Unit5231,Tenant175,01/04/1993,
Unit6390,Tenant176,20/11/2017,
Unit8258,Tenant177,13/05/1996,
Unit9807,Tenant178,27/09/2010,05/07/2020
Unit2465,Tenant179,02/06/2014,
Unit1157,Tenant180,29/01/2018,
Unit3301,Tenant181,11/12/2000,08/03/2020
Unit3301,Tenant182,09/03/2020,
Unit8406,Tenant183,18/01/2016,15/12/2019
Unit8406,Tenant184,13/07/2020,
Unit6640,Tenant185,17/07/2017,
Unit1276,Tenant186,29/01/2001,
Unit4987,Tenant187,28/05/2007,
Unit6654,Tenant188,19/07/2010,
Unit1570,Tenant189,23/08/2004,
Unit6156,Tenant190,30/07/2012,
Unit5299,Tenant191,29/07/1996,
Unit3770,Tenant192,26/07/2010,
Unit2722,Tenant193,27/04/2015,
Unit9117,Tenant194,29/02/2016,
Unit1832,Tenant195,16/02/2004,
Unit9438,Tenant196,14/02/2005,
Unit6667,Tenant197,30/10/2006,
Unit7389,Tenant198,01/02/1999,
Unit1638,Tenant199,14/05/2007,
Unit4564,Tenant200,02/05/2016,
Unit7358,Tenant201,03/11/2003,
Unit1854,Tenant202,13/05/2019,
Unit220,Tenant203,31/08/1987,
Unit3973,Tenant204,20/01/1997,
Unit5894,Tenant205,26/05/2008,
Unit2837,Tenant206,08/05/2006,20/01/2019
Unit4981,Tenant207,30/09/2013,
Unit1287,Tenant208,18/12/2006,
Unit3745,Tenant209,14/04/2014,
Unit6240,Tenant210,19/01/2004,
Unit1750,Tenant211,30/03/1998,
Unit3854,Tenant212,20/08/2001,
Unit735,Tenant213,16/12/2013,
Unit3289,Tenant214,04/04/2011,
Unit1234,Tenant215,14/06/2004,
Unit9925,Tenant216,25/01/2010,
Unit8862,Tenant217,17/10/2011,
Unit7989,Tenant218,02/06/2014,
Unit415,Tenant219,16/02/2004,
Unit7594,Tenant220,23/08/2010,
Unit3728,Tenant221,20/08/2007,
Unit4467,Tenant222,12/07/2010,
Unit765,Tenant223,12/07/2004,02/02/2020
Unit765,Tenant224,18/05/2020,
Unit246,Tenant225,16/02/2004,
Unit6395,Tenant226,04/02/2002,
Unit350,Tenant227,20/03/2006,
Unit4684,Tenant228,19/12/2016,
Unit7099,Tenant229,12/01/2015,
Unit1865,Tenant230,21/05/2012,
Unit5817,Tenant231,23/06/1997,26/01/2020
Unit5817,Tenant232,09/03/2020,
Unit9033,Tenant233,18/04/1977,
Unit5096,Tenant234,20/04/2015,
Unit4349,Tenant235,14/06/2004,20/12/2019
Unit4349,Tenant236,20/12/2019,
Unit8163,Tenant237,21/07/2014,
Unit7739,Tenant238,20/07/2009,
Unit344,Tenant239,19/01/2009,
Unit9793,Tenant240,30/09/2002,
Unit6459,Tenant241,06/05/2013,
Unit4275,Tenant242,27/11/2017,
Unit8553,Tenant243,12/05/2003,
Unit5563,Tenant244,12/01/2008,
Unit1108,Tenant245,04/08/1997,
Unit7425,Tenant246,23/10/2017,
Unit767,Tenant247,17/04/1995,
Unit5625,Tenant248,03/03/1997,
Unit8377,Tenant249,29/03/1999,
Unit2586,Tenant250,21/01/2013,
Unit3073,Tenant251,28/07/2003,
Unit7050,Tenant252,11/01/2016,
Unit1197,Tenant253,03/03/2008,
Unit1406,Tenant254,04/04/2011,
Unit5423,Tenant255,13/01/2003,06/09/2020
Unit9284,Tenant256,13/08/2018,23/06/2019
Unit9284,Tenant257,22/07/2019,
Unit9309,Tenant258,26/01/1998,
Unit381,Tenant259,01/11/2010,
Unit7125,Tenant260,30/09/2002,
Unit4044,Tenant261,08/07/2013,
Unit7879,Tenant262,24/07/2017,26/01/2020
Unit7879,Tenant263,27/01/2020,
Unit3243,Tenant264,11/08/2003,
Unit2172,Tenant265,30/09/2002,
Unit6592,Tenant266,07/07/2003,
Unit3613,Tenant267,16/12/1991,
Unit231,Tenant268,31/08/2009,
Unit3484,Tenant269,18/03/2019,01/09/2019
Unit3484,Tenant270,11/11/2019,
Unit4446,Tenant271,16/02/2015,
Unit2413,Tenant272,04/04/2011,
Unit5761,Tenant273,14/03/2005,
Unit6202,Tenant274,17/05/1993,
Unit8193,Tenant275,20/01/1992,
Unit1991,Tenant276,30/09/2002,30/11/2020
Unit1991,Tenant277,30/11/2020,
Unit351,Tenant278,17/10/2005,
Unit6524,Tenant279,28/05/2007,
Unit9743,Tenant280,11/08/2014,
Unit875,Tenant281,08/02/2010,
Unit6435,Tenant282,07/05/2018,
Unit7224,Tenant283,07/03/2005,16/08/2020
Unit7224,Tenant284,17/08/2020,
Unit8892,Tenant285,05/02/2001,
Unit7407,Tenant286,06/08/2012,
Unit439,Tenant287,18/07/1977,
Unit2458,Tenant288,04/10/2010,
Unit8968,Tenant289,07/05/2018,
Unit533,Tenant290,30/08/2010,
Unit1399,Tenant291,30/05/2011,
Unit4127,Tenant292,18/09/2017,
Unit4239,Tenant293,20/12/2013,
Unit6002,Tenant294,27/06/2011,
Unit3887,Tenant295,17/12/2018,26/01/2020
Unit3887,Tenant296,17/02/2020,
Unit5627,Tenant297,24/11/1980,
Unit7281,Tenant298,30/09/2002,11/08/2019
Unit7281,Tenant299,27/09/2019,27/09/2019
Unit7281,Tenant300,03/02/2020,
Unit7246,Tenant301,08/06/1998,
Unit7824,Tenant302,09/07/2001,
Unit9892,Tenant303,20/03/2006,
Unit737,Tenant304,14/08/2017,
Unit9464,Tenant305,28/01/1985,
Unit965,Tenant306,08/07/2013,
Unit9191,Tenant307,17/02/1997,
Unit7321,Tenant308,16/12/2013,
Unit4563,Tenant309,10/09/2018,
Unit2555,Tenant310,16/04/2012,
Unit6591,Tenant311,22/03/2004,23/02/2020
Unit6591,Tenant312,24/08/2020,
Unit7866,Tenant313,25/03/2002,
Unit4718,Tenant314,30/04/2018,
Unit117,Tenant315,30/04/1984,
